date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:22	204071/204071	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2020:10:24%20GMT	https://nmessaoudi392.systeme.io/fa523956	D:/667/goodfolio/goodfolio/nmessaoudi392.systeme.io/fa523956.html	(from )
20:10:23	13/13	---M--	200	added ('OK')	text/plain	etag:%226762f15c-d%22	https://nmessaoudi392.systeme.io/robots.txt		(from )
20:10:23	498160/498160	---MCZ	200	added ('OK')	text/css	etag:W/%22325672b036bab9b57f6873aed5eccc43%22	https://d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	D:/667/goodfolio/goodfolio/d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:24	28272/28272	---M--	200	added ('OK')	image/png	etag:%2247c213366e44dc9867ba4ae820cb4b55%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/6755d18e46781_469583520_560944743240633_477513258155850419_n-removebg-preview.png	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/6755d18e46781_469583520_560944743240633_477513258155850419_n-removebg-preview.png	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:24	178818/178818	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2020:10:26%20GMT	https://nmessaoudi392.systeme.io/173607e1	D:/667/goodfolio/goodfolio/nmessaoudi392.systeme.io/173607e1.html	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:24	130334/130334	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2020:10:26%20GMT	https://nmessaoudi392.systeme.io/909e16e8	D:/667/goodfolio/goodfolio/nmessaoudi392.systeme.io/909e16e8.html	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:24	69287/69287	---M--	200	added ('OK')	image/jpeg	etag:%221e35572a0b50b711080196436d9757a5%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/6762f5b39be3d_462573188_468490255908007_8278682475670497761_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/6762f5b39be3d_462573188_468490255908007_8278682475670497761_n.jpg	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:25	35607/35607	---M--	200	added ('OK')	image/png	etag:%222b467431009afdc215f3a14833f7d099%22	https://d1yei2z3i6k35z.cloudfront.net/systeme-common/6273728b1bd5a_instagram-logo.png	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/systeme-common/6273728b1bd5a_instagram-logo.png	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:25	1784/1784	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b36fb59db1b08c77338df8b86396266b%22	https://d6r6gym8ueyux.cloudfront.net/runtimeSimplePage.1f5d57551aa31777b361.js	D:/667/goodfolio/goodfolio/d6r6gym8ueyux.cloudfront.net/runtimeSimplePage.1f5d57551aa31777b361.js	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:25	656262/656262	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b32d4f4058f837c52fb7d269629c43ae%22	https://d6r6gym8ueyux.cloudfront.net/simplePage.2bd8549b8ea072ba9f1d.js	D:/667/goodfolio/goodfolio/d6r6gym8ueyux.cloudfront.net/simplePage.2bd8549b8ea072ba9f1d.js	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:26	776964/776964	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%228bdb820d24ef96d0231bf267352d3dee%22	https://d6r6gym8ueyux.cloudfront.net/vendors~simplePage.369d4e3f6865c614e674.js	D:/667/goodfolio/goodfolio/d6r6gym8ueyux.cloudfront.net/vendors_simplePage.369d4e3f6865c614e674.js	(from https://nmessaoudi392.systeme.io/fa523956)
20:10:26	128607/128607	---M--	200	added ('OK')	image/jpeg	etag:%22667987565cd71023e2c448c59a61af93%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/6763273c776aa_465689800_9054005178016904_1571290903434692744_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/6763273c776aa_465689800_9054005178016904_1571290903434692744_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:26	91609/91609	---M--	200	added ('OK')	image/jpeg	etag:%2249014e556b9db01b33f46a1e7f8f2e52%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/676327a94a5fc_462581701_458503387025779_4414765315747607742_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/676327a94a5fc_462581701_458503387025779_4414765315747607742_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:27	87531/87531	---M--	200	added ('OK')	image/jpeg	etag:%22f45dc6200e503232774fbf6a9a364ac6%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/67632822d178c_462577699_1808610229977557_4053814042308494792_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/67632822d178c_462577699_1808610229977557_4053814042308494792_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:27	77336/77336	---M--	200	added ('OK')	image/jpeg	etag:%228f2d2029d2d03f187daee066e6972961%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/67632881e7fd9_462570701_27987897857522894_6567729255831079289_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/67632881e7fd9_462570701_27987897857522894_6567729255831079289_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:27	52048/52048	---M--	200	added ('OK')	image/jpeg	etag:%2280b8025c3aa532ec76ee97e436b51d60%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/676328db88103_462584057_1343441546815924_6616894951315969196_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/676328db88103_462584057_1343441546815924_6616894951315969196_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:27	91162/91162	---M--	200	added ('OK')	image/jpeg	etag:%22f9d021e7790b177701ca4814cb8bc154%22	https://d1yei2z3i6k35z.cloudfront.net/8492513/6763292e30aea_462583643_1066986305173643_2938252980604854650_n.jpg	D:/667/goodfolio/goodfolio/d1yei2z3i6k35z.cloudfront.net/8492513/6763292e30aea_462583643_1066986305173643_2938252980604854650_n.jpg	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:27	244982/244982	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Dec%202024%2020:10:29%20GMT	https://nmessaoudi392.systeme.io/78a3fc27	D:/667/goodfolio/goodfolio/nmessaoudi392.systeme.io/78a3fc27	(from https://nmessaoudi392.systeme.io/173607e1)
20:10:28	13929/13929	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2020:10:29%20GMT	https://nmessaoudi392.systeme.io/default-funnel-step-thank-you-page/4799008	D:/667/goodfolio/goodfolio/nmessaoudi392.systeme.io/default-funnel-step-thank-you-page/4799008.html	(from https://nmessaoudi392.systeme.io/173607e1)
